,CATEGORIE,long,lat,Address,Neighborhood
798,Vol de véhicule à moteur,-73.8875796529652,45.45085725532158,"18504, Rue Budge, Pierrefonds-Ouest, Pierrefonds-Roxboro, Montréal, Agglomération de Montréal, Montréal (06), Québec, H9K 1M8, Canada",
799,Méfait,-73.57314304876799,45.59154342671086,"7455, Boulevard Langelier, Grande-Prairie, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1S 2X6, Canada",
800,Méfait,-73.640154891473,45.602843375477775,"4682, Boulevard Gouin Est, Centre-Nord, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1G 5W2, Canada",
801,Introduction,-73.58321539450975,45.52000731459035,"125, Rue Marie-Anne Est, Saint-Louis, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2W 1B1, Canada",
802,Vols qualifiés,-73.59117921522035,45.612071067553536,"10400, Rue Renaude-Lapointe, Anjou, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1E 2Z6, Canada",
803,Vol de véhicule à moteur,-73.53717262667288,45.59522488794315,"4851, Rue Joseph-A-Rodier, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1L 1A4, Canada",
804,Vols qualifiés,-73.55793314133848,45.59921326472122,"7000, Boulevard des Roseraies, Anjou, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1M 2X3, Canada",
805,Vol de véhicule à moteur,-73.89839339638368,45.438519066500994,"19490, Boulevard Elkas, Kirkland, Agglomération de Montréal, Montréal (06), Québec, H9J 2R6, Canada",
806,Méfait,-73.55747295414031,45.5136269541166,"1167, Rue Berri, Quartier Chinois, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2L 4C6, Canada",
807,Méfait,-73.56907021347945,45.569346947285965,"4921, Rue de Bellechasse, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1T 2W7, Canada",
808,Vol de véhicule à moteur,-73.53968412281178,45.56679292947407,"5478, Rue Hochelaga, Longue-Pointe, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1N 3T7, Canada",
809,Introduction,-73.5908516388184,45.51743804888482,"4581, Avenue du Parc, Mile End, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2V 2R1, Canada",
810,Introduction,-73.52861569374241,45.51986542846712,"110, Chemin du Chenal-le-Moyne, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, J4P 3P2, Canada",
811,Introduction,-73.5975349915923,45.53055342497447,"5675, Rue Saint-Denis, Saint-Édouard, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2S 1Z3, Canada",
812,Méfait,-73.50207513105816,45.64264222094696,"1300, 12e Avenue, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1A 3C7, Canada",
813,Introduction,-73.83018539274326,45.45272030316134,"164, Avenue Seigniory, Pointe-Claire, Agglomération de Montréal, Montréal (06), Québec, H9R 0A1, Canada",
814,Méfait,-73.57336506288392,45.46517796225867,"3897, Rue Claude, Verdun-Centre, Verdun, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4G 2R9, Canada",
815,Méfait,-73.51257982882879,45.59397203989006,"8323, Rue Joséphine Marchand, Bellerive, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1L 3L2, Canada",
